land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
FR,JP,72,30,42,0,0.417,-120.0,604.6,-527.8,229.5
GB,IT,43,18,25,0,0.419,-110,963.9,-670.0,464.0
AU,DK,62,26,36,0,0.419,-46.0,563.1,-267.0,243.5
BE,MY,31,18,13,0,0.581,61,379.0,-74.0,506.0
GB,NO,31,18,13,0,0.581,127,835.8,-214.0,546.0
IT,SI,143,60,82,1,0.42,-219,1624.0,-1124.0,555.0
HU,LV,221,93,128,0,0.421,-150,1803.4,-1798.5,649.0
BE,IE,116,49,65,2,0.422,-22.5,478.1,-160.5,97.8
DK,FI,52,30,22,0,0.577,48.5,335.4,-104.0,185.8
EE,ES,47,20,27,0,0.426,-49,537.8,-237.0,240.0
AU,FI,180,103,76,1,0.572,33.5,529.4,-102.0,268.0
EE,US,21,9,12,0,0.429,-756,1508.7,-1822.5,222.5
FI,GR,70,40,30,0,0.571,24.0,229.6,-57.5,174.5
GR,SE,86,37,49,0,0.43,-31.0,406.2,-262.2,62.2
GB,JP,30,13,17,0,0.433,-214.0,643.1,-436.0,449.0
DK,SE,69,30,38,1,0.435,-8,442.3,-323.5,76.0
IS,SI,151,66,85,0,0.437,-124,1275.5,-1097.0,458.0
DE,SE,105,59,44,2,0.562,17,539.8,-166.5,193.0
EE,IE,32,14,18,0,0.438,-25.0,434.3,-202.2,103.0
DE,JP,89,39,50,0,0.438,-82,651.7,-542.0,204.0
CZ,MY,16,7,9,0,0.438,-34.0,224.5,-197.0,172.5
IS,IT,309,173,135,1,0.56,39,763.7,-462.5,402.5
ES,FI,184,103,80,1,0.56,35.0,469.3,-59.0,221.0
AT,DE,75,33,40,2,0.44,-9,746.9,-353.0,116.0
GB,HU,34,15,19,0,0.441,-52.0,1563.1,-1832.0,379.8
HU,SA,43,24,19,0,0.558,472,1892.2,-938.0,2034.0
AT,IE,86,38,48,0,0.442,-34.0,521.5,-196.0,147.8
FI,IE,119,53,63,3,0.445,-13,355.9,-208.0,68.0
HU,SK,361,161,200,0,0.446,-129,1639.3,-1327.0,1095.5
IS,JP,197,109,88,0,0.553,73,471.1,-310.0,449.0
EE,FI,47,26,21,0,0.553,32,397.3,-167.0,296.0
AT,EE,38,17,21,0,0.447,-38.0,480.6,-406.2,144.0
ES,FR,80,44,36,0,0.55,25.0,970.6,-157.5,240.0
CZ,DK,20,11,9,0,0.55,83.5,516.1,-131.8,234.0
DK,GR,20,11,9,0,0.55,27.0,153.3,-115.5,123.0
DE,GB,20,9,11,0,0.45,-92.5,845.8,-537.0,259.5
CZ,EE,20,9,11,0,0.45,-19.0,407.9,-506.2,205.5
IT,RO,255,115,140,0,0.451,-58,1102.3,-604.0,391.0
BE,CZ,53,29,24,0,0.547,12,289.8,-108.5,236.0
BE,FR,64,29,35,0,0.453,-3.5,753.2,-258.5,253.0
RO,SI,97,44,53,0,0.454,-117,1546.6,-867.5,599.5
BE,SE,198,90,107,1,0.455,-24.0,491.9,-280.2,126.5
FR,HR,33,15,18,0,0.455,-50,814.6,-407.0,469.0
DE,EE,22,10,11,1,0.455,-24.5,694.9,-351.5,112.5
HR,IT,136,62,74,0,0.456,-75.5,986.0,-688.2,541.2
AT,SE,149,68,80,1,0.456,-22,584.7,-364.0,151.0
AU,DE,114,52,62,0,0.456,-41.0,632.9,-282.0,213.5
AT,BE,131,60,67,4,0.458,-18,526.7,-110.0,105.0
CZ,SE,59,27,32,0,0.458,-13,358.5,-290.0,96.0
LV,SK,278,150,128,0,0.54,66.5,1362.9,-860.2,993.2
FR,SE,63,34,29,0,0.54,65,510.6,-185.0,368.0
HR,SI,63,29,33,1,0.46,-58,1448.5,-670.0,581.0
EE,MY,13,7,6,0,0.538,38,331.0,-50.5,562.5
GB,SI,13,6,7,0,0.462,-347,1416.2,-1172.5,468.0
IT,JP,252,135,116,1,0.536,43.0,839.3,-390.8,582.0
DE,IE,69,32,36,1,0.464,-10,461.0,-159.5,177.0
SI,US,43,23,20,0,0.535,10,1646.6,-476.0,977.0
JP,US,75,40,35,0,0.533,44,1216.8,-754.0,589.0
HR,SA,15,8,7,0,0.533,155,888.5,-1061.0,449.0
GB,US,17,8,9,0,0.471,-39,1848.1,-1972.5,396.0
CZ,FI,51,24,26,1,0.471,-2,236.9,-71.0,90.0
FI,MY,34,18,16,0,0.529,11.5,340.0,-112.0,284.0
GR,MY,17,9,8,0,0.529,21,281.5,-179.5,358.5
BE,FI,190,100,84,6,0.526,10.5,430.0,-82.5,149.8
AU,FR,84,40,44,0,0.476,-29.5,669.9,-433.8,185.8
AT,DK,46,22,24,0,0.478,-15.0,532.2,-137.2,231.0
BE,DK,52,25,25,2,0.481,0.0,534.3,-213.8,175.8
AT,CZ,56,29,27,0,0.518,5.5,507.5,-79.0,270.0
AU,CZ,60,31,29,0,0.517,16.5,899.9,-135.2,262.2
AU,SE,188,91,97,0,0.484,-11.0,622.9,-298.5,185.8
IT,US,124,64,60,0,0.516,27.0,1323.8,-341.8,593.8
AT,FI,126,65,60,1,0.516,13.0,441.8,-112.5,186.5
GB,RO,31,16,15,0,0.516,44,826.1,-469.0,486.0
IS,RO,202,104,98,0,0.515,25.0,1016.8,-680.2,421.0
AU,IE,130,63,67,0,0.485,-18.0,612.7,-203.8,185.5
