country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,notes,scraped_at,atc_code,prk
SA,Saudi Arabia,SFDA,,CAPTOPRIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978577,C09AA01,
SA,Saudi Arabia,SFDA,,CARBOPLATIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978590,L01XA02,
SA,Saudi Arabia,SFDA,,CARBOPLATIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978600,L01XA02,
SA,Saudi Arabia,SFDA,,CARFILZOMIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978610,L01XG02,
SA,Saudi Arabia,SFDA,,CARGLUMIC ACID,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978620,A16AA05,
SA,Saudi Arabia,SFDA,,CARVEDILOL,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978628,C07AG02,
SA,Saudi Arabia,SFDA,,CASPOFUNGIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978638,J02AX04,
SA,Saudi Arabia,SFDA,,CASPOFUNGIN ACETATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978647,J02AX04,
SA,Saudi Arabia,SFDA,,CEFACLOR,,,,,,shortage,غير متوفر,2026-09-23T21:00:26.978661,J01DC04,
SA,Saudi Arabia,SFDA,,CEFACLOR,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324695,J01DC04,
SA,Saudi Arabia,SFDA,,CEFALEXIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324721,J01DB01,
SA,Saudi Arabia,SFDA,,CEFALEXIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324733,J01DB01,
SA,Saudi Arabia,SFDA,,CEFAZOLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324743,J01DB04,
SA,Saudi Arabia,SFDA,,CEFEPIME HYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324753,J01DE01,
SA,Saudi Arabia,SFDA,,CEFIXIME,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324762,J01DD08,
SA,Saudi Arabia,SFDA,,CEFOTAXIME,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324771,J01DD01,
SA,Saudi Arabia,SFDA,,CEFPROZIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324785,J01DC10,
SA,Saudi Arabia,SFDA,,CEFRADINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324795,J01DB09,
SA,Saudi Arabia,SFDA,,CEFTAZIDIME,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.324804,J01DD02,
SA,Saudi Arabia,SFDA,,CEFTRIAXONE,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677160,J01DD04,
SA,Saudi Arabia,SFDA,,CEFUROXIME AXETIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677187,J01DC02,
SA,Saudi Arabia,SFDA,,CEFUROXIME SODIUM,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677201,J01DC02,
SA,Saudi Arabia,SFDA,,CELECOXIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677211,L01XX33,
SA,Saudi Arabia,SFDA,,CELECOXIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677221,L01XX33,
SA,Saudi Arabia,SFDA,,CEPHALEXIN ANHYDROUS,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677231,J01DB01,
SA,Saudi Arabia,SFDA,,"CHLORMADINONE,ETHINYLESTRADIOL",,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677241,,
SA,Saudi Arabia,SFDA,,CHLOROQUINE PHOSPHATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677251,P01BA01,
SA,Saudi Arabia,SFDA,,CHLOROTHIAZIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677262,C03AA04,
SA,Saudi Arabia,SFDA,,CHLORPROTHIXENE,,,,,,shortage,غير متوفر,2026-09-23T21:00:27.677273,N05AF03,
SA,Saudi Arabia,SFDA,,CHOLECALCIFEROL,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030018,A11CC05,
SA,Saudi Arabia,SFDA,,"CHOLECALCIFEROL,CYANOCOBALAMIN,CALCIUM LEVULINATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030047,,
SA,Saudi Arabia,SFDA,,"CHROMIUM CHLORIDE HEXAHYDRATE,SODIUM SELENITE PENTAHYDRATE,POTASSIUM IODIDE,SODIUM FLUORIDE,MANGANESE GLUCONATE,COPPER GLUCONATE,ZINC GLUCONATE,SODIUM MOLYBDATE,FERROUS GLUCONATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030058,,
SA,Saudi Arabia,SFDA,,CICLOSPORIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030069,L04AD01,
SA,Saudi Arabia,SFDA,,"CILASTATIN,IMIPENEM",,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030078,,
SA,Saudi Arabia,SFDA,,CILOSTAZOL,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030088,B01AC23,
SA,Saudi Arabia,SFDA,,CINACALCET,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030097,H05BX01,
SA,Saudi Arabia,SFDA,,CINNARIZINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030106,N07CA02,
SA,Saudi Arabia,SFDA,,CIPROFLOXACIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030115,J01MA02,
SA,Saudi Arabia,SFDA,,CISATRACURIUM,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.030124,M03AC11,
SA,Saudi Arabia,SFDA,,CISPLATIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384810,L01XA01,
SA,Saudi Arabia,SFDA,,CITALOPRAM,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384838,N06AB04,
SA,Saudi Arabia,SFDA,,CLARITHROMYCIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384849,J01FA09,
SA,Saudi Arabia,SFDA,,CLINDAMYCIN PHOSPHATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384860,D10AF01,
SA,Saudi Arabia,SFDA,,"CLIOQUINOL,BETAMETHASONE VALERATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384870,,
SA,Saudi Arabia,SFDA,,CLOBAZAM,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384880,N05BA09,
SA,Saudi Arabia,SFDA,,CLOBETASOL PROPIONATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384889,D07AD01,
SA,Saudi Arabia,SFDA,,CLOBETASONE BUTYRATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384899,D07AC02,
SA,Saudi Arabia,SFDA,,CLOFARABINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384908,L01BB06,
SA,Saudi Arabia,SFDA,,CLOPIDOGREL,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.384917,B01AC04,
SA,Saudi Arabia,SFDA,,CLOPIDOGREL,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744278,B01AC04,
SA,Saudi Arabia,SFDA,,CLOSTRIDIUM BOTULINUM NEUROTOXIN A,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744306,M03AX01,
SA,Saudi Arabia,SFDA,,CLOTRIMAZOLE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744317,A01AB18,
SA,Saudi Arabia,SFDA,,CLOXACILLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744328,J01CF02,
SA,Saudi Arabia,SFDA,,CLOZAPINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744337,N05AH02,
SA,Saudi Arabia,SFDA,,COLECALCIFEROL,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744347,A11CC05,
SA,Saudi Arabia,SFDA,,COLECALCIFEROL (VITAMIN D3),,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744356,A11CC05,
SA,Saudi Arabia,SFDA,,COLISTIMETHATE SODIUM,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744365,J01XB01,
SA,Saudi Arabia,SFDA,,CROTAMITON,,,,,,shortage,غير متوفر,2026-09-23T21:00:28.744374,,
