country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at
LT,Lithuania,VVKT,Eltrombopag Krka,Eltrombopag,Eltrombopagas,75 mg,plėvele dengtos tabletės,B02BX05,LT/1/24/5500/004,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Pomalidomide Sandoz,Pomalidomide,Pomalidomidas,3 mg,kietosios kapsulės,L04AX06,LT/1/24/5534/002,Sandoz d.d.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Amoxicilina Aurobindo,Amoxicillin,Amoksicilinas,1000 mg,disperguojamosios tabletės,J01CA04,LT/L/24/2075/003,UAB Ideal Trade Links,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Axigalu,sitagliptin and dapagliflozin,Sitagliptinas/Dapagliflozinas,100 mg/10 mg,plėvele dengtos tabletės,A10BD29,LT/1/25/5781/029,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Bulgaplin,Pregabalin,Pregabalinas,25 mg,kietosios kapsulės,N02BF02,LT/1/24/5373/007,Orion Corporation,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Rivaroxaban Auxilia,Rivaroxaban,Rivaroksabanas,20 mg,plėvele dengtos tabletės,B01AF01,LT/1/21/4671/001,Auxilia Pharma OÜ,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Metronidazole Basi,Metronidazole,Metronidazolas,5 mg/ml,infuzinis tirpalas,J01XD01,LT/1/24/5509/004,"Laboratórios Basi-Indústria Farmacêutica, S.A.",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Trandolapril Generis,Trandolapril,Trandolaprilis,2 mg,kietosios kapsulės,C09AA10,LT/L/25/2564/001,UAB Niromed,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Ibuprofen Viatris,Ibuprofen,Ibuprofenas,200 mg,minkštosios kapsulės,M01AE01,LT/1/25/5871/002,Viatris Limited,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Bosentan Zentiva,Bosentan,Bozentanas,125 mg,plėvele dengtos tabletės,C02KX01,LT/1/24/5370/003,Zentiva k.s.,shortage,2026-03-14T16:16:25.666545
