country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at,prk
HU,Hungary,OGYEI,BETALOC  1 mg/ml oldatos injekció,metoprolol,,5 X 5 ml ampulla,OGYI-T-01815/01,C07AB02,Recordati Ireland Ltd.,2025-10-17,2027-01-17,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.639546,15490
HU,Hungary,OGYEI,BILA-GIT filmtabletta,homatropine methylbromide;dehydrocholic acid;Papaverine Hydrochloride,,50 X   - buborékcsomagolásban,OGYI-T-08917/03,A05AA69,Stada Arzneimittel AG,2025-12-01,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.639570,
HU,Hungary,OGYEI,BILASTINE TEVA 20 mg tabletta,bilastine,,30 X 1 - adagonként perforált buborékcsomagolásban,OGYI-T-23870/03,R06AX29,Teva B.V.,2026-06-17,2026-09-25,shortage,Megnövekedett igény,Az NNGYK által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.639599,
HU,Hungary,OGYEI,BILOBIL 40 mg kemény kapszula,"ginkgo dry extract, refined and quantified",,20 X   - buborékcsomagolásban,OGYI-T-22107/01,N06DX02,"Krka d.d.,",2022-03-31,,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.639623,
HU,Hungary,OGYEI,BILOBIL 40 mg kemény kapszula,"ginkgo dry extract, refined and quantified",,60 X   - buborékcsomagolásban,OGYI-T-22107/02,N06DX02,"Krka d.d.,",2021-04-01,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.639649,
HU,Hungary,OGYEI,BILOBIL FORTE 80 mg kemény kapszula,"ginkgo dry extract, refined and quantified",,20 X   - buborékcsomagolásban,OGYI-T-10148/01,N06DX02,"Krka d.d.,",2022-04-30,,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.639671,
HU,Hungary,OGYEI,BISOGAMMA 10 mg filmtabletta,bisoprolol fumarate,,100 X   - buborékcsomagolásban,OGYI-T-09388/06,C07AB07,Wörwag Pharma GmbH & Co. KG,2026-01-27,,shortage,Forgalmazói piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.639694,25542
HU,Hungary,OGYEI,BISOGAMMA 10 mg filmtabletta,bisoprolol fumarate,,30 X   - buborékcsomagolásban,OGYI-T-09388/04,C07AB07,Wörwag Pharma GmbH & Co. KG,2026-01-27,,shortage,Forgalmazói piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.639717,25542
HU,Hungary,OGYEI,BISOGAMMA 10 mg filmtabletta,bisoprolol fumarate,,50 X   - buborékcsomagolásban,OGYI-T-09388/05,C07AB07,Wörwag Pharma GmbH & Co. KG,2026-01-27,,shortage,Forgalmazói piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.639740,25542
HU,Hungary,OGYEI,BISOGAMMA 5 mg filmtabletta,bisoprolol fumarate,,100 X   - buborékcsomagolásban,OGYI-T-09388/03,C07AB07,Wörwag Pharma GmbH & Co. KG,2025-11-03,,shortage,Forgalmazói piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.639764,25534
HU,Hungary,OGYEI,BISOGAMMA 5 mg filmtabletta,bisoprolol fumarate,,30 X   - buborékcsomagolásban,OGYI-T-09388/01,C07AB07,Wörwag Pharma GmbH & Co. KG,2025-11-03,,shortage,Forgalmazói piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.639787,25534
