country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
IT,Italy,AIFA,CONFEROPORT,TACROLIMUS MONOIDRATO,"""0,5 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 30 CAPSULE IN BLISTER PVC/PVDC/AL DIVISIBILE PER DOSE UNITARIA",,47885025,2026-09-10,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073691,L04AD02,96148
IT,Italy,AIFA,CONFEROPORT,TACROLIMUS MONOIDRATO,"""2 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 30 CAPSULE IN BLISTER PVC/PVDC/AL DIVISIBILE PER DOSE UNITARIA",,47885076,2026-10-26,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073713,L04AD02,200719
IT,Italy,AIFA,CONTRATHION,PRALIDOXIMA METILSOLFATO,"""200 MG/10 ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO + 1 FIALA SOLVENTE 10 ML",,21091018,2024-03-14,,shortage - end date unknown,Problemi produttivi,Rilasciata determinazione per limportazione al titolare A.I.C.,2026-09-21T13:18:35.073735,V03AB01,
IT,Italy,AIFA,CONTRATHION,PRALIDOXIMA METILSOLFATO,""" 200 MG/ 10 ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 10 FLACONCINI DI POLVERE E 10 FIALE DI SOLVENTE",,21091020,2024-03-14,,shortage - end date unknown,Problemi produttivi,Rilasciata determinazione per limportazione al titolare A.I.C.,2026-09-21T13:18:35.073755,V03AB01,
IT,Italy,AIFA,CORVERT,IBUTILIDE,1 FLACONE 10 ML,,33298011,2026-08-31,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073778,C01BD05,48054
IT,Italy,AIFA,COSENTYX,SECUKINUMAB,300 MG - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA (VETRO) IN PENNA PRERIEMPITA 2 ML (150 MG / ML) - 1 PENNA PRERIEMPITA,,43873102,2026-09-15,2026-09-23,shortage,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G - Disponibile Cosentyx 300 mg - soluzione iniettabile - uso sottocutaneo - siringa preriempita (vetro) 2 ml (150 mg / ml) - 1 siringa preriempita (AIC 043873088),2026-09-21T13:18:35.073806,L04AC10,208043
IT,Italy,AIFA,CREON,PANCRELIPASI,"""10.000 U.PH.EUR. CAPSULE RIGIDE A RILASCIO MODIFICATO"" 100 CAPSULE",,29018064,2022-01-01,2026-12-31,shortage,Elevata richiesta/problemi produttivi: distribuzione contingentata,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.073833,A09AA02,100366
IT,Italy,AIFA,CREON,PANCRELIPASI,"""25.000 U.PH.EUR. CAPSULE RIGIDE A RILASCIO MODIFICATO"" 100 CAPSULE",,29018049,2026-09-20,,shortage - end date unknown,Elevata richiesta: distribuzione contingentata,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.073855,A09AA02,100331
IT,Italy,AIFA,CREONIPE,PANCRELIPASI,"""35000 CAPSULE RIGIDE GASTRORESISTENTI"" 100 CAPSULE IN FLACONE HDPE",,47002098,2023-09-15,2026-12-31,shortage,Problemi produttivi: distribuzione contingentata,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-09-21T13:18:35.073880,A09AA02,204056
IT,Italy,AIFA,CROTONIL,ACIDO CLODRONICO SALE DISODICO TETRAIDRATO + LIDOCAINA CLORIDRATO,"100 MG + 33 MG SOLUZIONE INIETTABILE CON LIDOCAINA 6 FIALE IN VETRO DA 3,3 ML",,45917010,2023-08-21,,shortage - end date unknown,Motivi commerciali,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-09-21T13:18:35.073901,,
