country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,dosage_form,shortage_start,first_published,estimated_end,estimated_end_text,last_updated,status,alternatives_available,reason,member_states,source_url,scraped_at
EU,EU (EMA),EMA,Ixiaro,"Japanese encephalitis vaccine (inactivated, adsorbed)",6AU,,,J07BA02,Valneva Austria GmbH,Suspension for injection,,2023-05-25,,,2025-10-16,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/ixiaro,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Emend,aprepitant,80 mg;125 mg,,,A04AD12,Merck Sharp & Dohme B.V.,Powder for oral suspension,,2024-04-12,,,2025-10-14,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/emend,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Human normal immunoglobulins,human normal immunoglobulins,,,,,,Solution for injection/infusion,,2024-06-03,,To last until June 2026.,2025-09-29,shortage,Yes,The causes of the shortages are multifactorial and include an unexpected increase in demand. These shortages affect medicines authorised across the EU/EEA as well as several medicines authorised at national level. They are expected to last until March 2027. The shortages are not related to a quality defect of the medicines or a safety issue.,"The shortages affect a number of EU Member States. For up-to-date information about the status of a medicine shortage in a particular EU/EEA Member State, consult the national shortage register or contact the national competent authority using the below links.",https://www.ema.europa.eu/en/medicines/human/shortages/human-normal-immunoglobulins,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Ecalta,anidulafungin,100 mg,,,J02AX06,Pfizer Europe MA EEIG,Powder for concentrate for solution for infusion,2024-07-01,2025-01-17,,,2025-09-25,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/ecalta,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Victoza,liraglutide,6 mg/ml,,,A10BJ02,Novo Nordisk A/S,Pre-filled pen,,2023-08-03,,,2025-09-05,shortage,Yes,"There were shortages of Victoza in some countries starting in 2023 and 2024 due to a temporary supply reduction and increase in demand. These have now been resolved. Separately, Novo Nordisk has decided to stop marketing Victoza across the EU/EEA by the end of 2026. Timelines vary from country to country, but the discontinuation will be completed in all EU Member States by December 2026. Due to the discontinuation, there may be a risk of short-term intermittent shortages in some countries until the medicine is no longer marketed. The discontinuation is for commercial reasons and not a consequence of any safety or quality-related issue.","Short-term intermittent shortages may affect some countries where Victoza is marketed. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/victoza,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Zypadhera,olanzapine,210 mg;300 mg;405 mg,,,N05AH03,CHEPLAPHARM Registration GmbH,Powder and solvent for prolonged-release suspension for injection,,2024-07-09,,October 2025,2025-08-27,shortage,Yes,"In 2024, there was a shortage of Zypadhera due to manufacturing problems with the 50 mm needles supplied with the medicine for injection. This issue has now been resolved. However, the shortage persists. The company for Zypadhera is now experiencing additional manufacturing problems and a quality defect, which have led to further disruptions. The batches affected by the quality defect were not distributed to the market.","Critical shortages of Zypadhera affect most Member States where the product is marketed and are expected to last until October 2025. This information may change. For up-to-date information about the status of a medicine shortage in a particular Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/zypadhera,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Amoxicillin and amoxicillin/clavulanic acid,amoxicillin;clavulanic acid,,,,,,Various presentations including paediatric formulations and presentations,2022-10-01,2023-01-27,,,2025-06-17,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/amoxicillin-amoxicillin-clavulanic-acid,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,NovoSeven (eptacog alfa),eptacog alfa (activated),"1, 2, 5 and 8 mg (50, 100, 250 and 400 KIU)",,,B02BD08,Novo Nordisk A/S,Powder and solvent for solution for injection,,2025-05-12,,December 2025,2025-06-05,shortage,Unknown,The availability problems are due to capacity constraints and issues during the packaging process of NovoSeven.,"For up-to-date information about the availability of NovoSeven, including which doses are affected and the availability of English-language packs in a particular EU/EEA Member State, consult the national shortage register or contact the national competent authority.",https://www.ema.europa.eu/en/medicines/human/shortages/novoseven-eptacog-alfa,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Pegasys,peginterferon alfa-2a,90 mcg;135 mcg;180 mcg,,,L03AB11,pharmaand GmbH,Solution for injection,,2024-10-30,,,2025-06-05,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/pegasys,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Zirabev,bevacizumab,100mg/4ml ;400mg/16ml,,,L01XC07,Pfizer Europe MA EEIG,Concentrate for solution for infusion,,2025-01-17,,,2025-04-10,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/zirabev,2026-09-22T14:49:34.035662
