country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at
HU,Hungary,OGYEI,AMLODIPIN/VALSARTAN SANDOZ 10 mg/160 mg filmtabletta,valsartan;amlodipine,,28 X   - buborékcsomagolásban,OGYI-T-23026/29,C09DB01,Sandoz Hungária Kft.,2024-10-15,2026-06-30,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma",Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.071198
HU,Hungary,OGYEI,AMLOZEK  5 mg tabletta,amlodipine,,30 X   - buborékcsomagolásban,OGYI-T-09542/01,C08CA01,"Zentiva, k.s.",2024-10-15,,shortage,Piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMLOZEK 10 mg tabletta,amlodipine,,30 X   - buborékcsomagolásban,OGYI-T-09542/02,C08CA01,"Zentiva, k.s.",2024-09-06,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMOKIL 500 mg/125 mg filmtabletta,amoxicillin;clavulanic acid,,21 X   - buborékcsomagolásban,OGYI-T-22557/12,J01CR02,Actavis Group PTC ehf.,2025-10-14,,shortage,Piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMOKIL 875 mg/125 mg filmtabletta,amoxicillin;clavulanic acid,,14 X   - buborékcsomagolásban,OGYI-T-22557/27,J01CR02,Actavis Group PTC ehf.,2025-10-14,,shortage,Piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMOXICILLIN/KLAVULÁNSAV APTAPHARMA 1000 mg/200 mg por oldatos injekcióhoz vagy infúzióhoz,amoxicillin sodium;potassium clavulanate,,1 X   - injekciós üvegben,OGYI-T-23825/01,J01CR02,Apta Medica Internacional d.o.o.,2023-07-31,,shortage,Gyártási gond,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMOXICILLIN/KLAVULÁNSAV APTAPHARMA 1000 mg/200 mg por oldatos injekcióhoz vagy infúzióhoz,amoxicillin sodium;potassium clavulanate,,100 X   - injekciós üvegben,OGYI-T-23825/03,J01CR02,Apta Medica Internacional d.o.o.,2023-07-31,,shortage,Gyártási gond,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMOXICILLIN/KLAVULÁNSAV KABI 2000 mg/200 mg por oldatos infúzióhoz,amoxicillin;clavulanic acid,,10 X 100 ml injekciós üvegben,OGYI-T-22650/12,J01CR02,Fresenius Kabi Hungary Kft.,2016-03-22,,shortage,Gyártási gond,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMOXICILLIN/KLAVULÁNSAV SANDOZ 1000 mg/200 mg por oldatos injekcióhoz,amoxicillin;clavulanic acid,,5 X   - injekciós üvegben,OGYI-T-23251/02,J01CR02,Sandoz GmbH,2025-10-14,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMPICILLIN EBERTH 1 g por oldatos injekcióhoz vagy infúzióhoz,ampicillin sodium,,10 X   - injekciós üvegben,OGYI-T-24307/03,J01CA01,Dr. Friedrich Eberth Arzneimittel GmbH,2025-09-24,2026-04-30,shortage,Piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.072197
HU,Hungary,OGYEI,AMPICILLIN EBERTH 2 g por oldatos injekcióhoz vagy infúzióhoz,ampicillin sodium,,10 X   - injekciós üvegben,OGYI-T-24307/05,J01CA01,Dr. Friedrich Eberth Arzneimittel GmbH,2025-02-06,,shortage,Piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-03-13T23:10:54.073196
HU,Hungary,OGYEI,AMPICILLIN SGS PHARMA 1 g por oldatos injekcióhoz vagy infúzióhoz,ampicillin,,10 X   - injekciós üvegben,OGYI-T-23971/01,J01CA01,SGS Pharma Magyarország Kft.,2026-03-01,,shortage,Szállítási vagy raktározási gondok,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.073196
HU,Hungary,OGYEI,ANAFRANIL 10 mg bevont tabletta,clomipramine,,30 X   - átlátszó buborékcsomagolásban,OGYI-T-02241/02,N06AA04,pharmaand GmbH,2026-03-09,2026-03-20,shortage,Szállítási vagy raktározási gondok,Egyedi import,2026-03-13T23:10:54.073196
HU,Hungary,OGYEI,ANAFRANIL 25 mg bevont tabletta,clomipramine,,30 X   - átlátszó buborékcsomagolásban,OGYI-T-02241/03,N06AA04,pharmaand GmbH,2026-03-09,2026-03-20,shortage,Szállítási vagy raktározási gondok,Egyedi import,2026-03-13T23:10:54.073196
