country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at
SI,Slovenia,CBZ,OMNIPAQUE,OMNIPAQUE 350 mg I/ml raztopina za injiciranje,iohexolum,,škatla z 10 vialami s 100 ml raztopine,raztopina za injiciranje,V08AB02,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Visipaque,Visipaque 270 mg l/ml raztopina za injiciranje,iodixanolum,,škatla z 10 steklenièkami s 100 ml raztopine,raztopina za injiciranje,V08AB09,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Visipaque,Visipaque 270 mg l/ml raztopina za injiciranje,iodixanolum,,škatla z 10 steklenièkami s 50 ml raztopine,raztopina za injiciranje,V08AB09,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Visipaque,Visipaque 320 mg l/ml raztopina za injiciranje,iodixanolum,,škatla z 10 steklenièkami s 50 ml raztopine,raztopina za injiciranje,V08AB09,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Visipaque,Visipaque 320 mg l/ml raztopina za injiciranje,iodixanolum,,škatla z 10 steklenièkami s 100 ml raztopine,raztopina za injiciranje,V08AB09,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Visipaque,Visipaque 320 mg l/ml raztopina za injiciranje,iodixanolum,,škatla s 6 steklenièkami z 200 ml raztopine,raztopina za injiciranje,V08AB09,GE Healthcare AS,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,ENGERIX,"ENGERIX-B za otroke 10 mikrogramov/0,5 ml suspenzija za injiciranje",antigenum hepatitidis B purificatum,,"škatla z 10 napolnjenimi injekcijskimi brizgami z 0,5 ml suspenzije in 10 injekcijskimi iglami",suspenzija za injiciranje,J07BC01,GlaxoSmithKline Biologicals S.A.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,REMODULIN,REMODULIN 1 mg/ml raztopina za infundiranje,treprostinilum,,škatla z 1 vialo z 20 ml raztopine,raztopina za injiciranje,B01AC21,Ferrer Internacional S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,REMODULIN,"REMODULIN 2,5 mg/ml raztopina za infundiranje",treprostinilum,,škatla z 1 vialo z 20 ml raztopine,raztopina za injiciranje,B01AC21,Ferrer Internacional S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,REMODULIN,REMODULIN 5 mg/ml raztopina za infundiranje,treprostinilum,,škatla z 1 vialo z 20 ml raztopine,raztopina za injiciranje,B01AC21,Ferrer Internacional S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
