country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at,prk
LT,Lithuania,VVKT,Mempoglyn,Metformin and empagliflozin,Empagliflozinas/Metformino hidrochloridas,"12,5 mg/850 mg",plėvele dengtos tabletės,A10BD20,LT/1/26/6016/011,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342145,
LT,Lithuania,VVKT,Estrofem,Estradiol,Estradiolis,2 mg,plėvele dengtos tabletės,G03CA03,LT/L/25/2853/002,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342147,30325
LT,Lithuania,VVKT,Ibuprofen Catalent,Ibuprofen,Ibuprofenas,200 mg,minkštosios kapsulės,M01AE01,LT/1/22/4996/010,Catalent Germany Eberbach GmbH,shortage,2026-07-23T11:41:58.342149,59072
LT,Lithuania,VVKT,Ezetimibe/Atorvastatin Sandoz,Atorvastatin and ezetimibe,Ezetimibas/Atorvastatinas,10 mg/40 mg,plėvele dengtos tabletės,C10BA05,LT/1/24/5432/005,Sandoz d.d.,shortage,2026-07-23T11:41:58.342151,122815
LT,Lithuania,VVKT,Ropivacaine hydrochloride Kabi,Ropivacaine,Ropivakaino hidrochloridas,10 mg/ml,injekcinis tirpalas,N01BB09,LT/1/22/5006/005,Fresenius Kabi Polska Sp.z.o.o.,shortage,2026-07-23T11:41:58.342152,43575
LT,Lithuania,VVKT,Betadine,Povidone-iodine,"Povidonas, joduotas",100 mg/g,tepalas,D08AG02,LT/L/18/0670/001,UAB Tojaris projektai,shortage,2026-07-23T11:41:58.342153,4073
LT,Lithuania,VVKT,Rivotril,Clonazepam,Klonazepamas,2 mg,tabletės,N03AE01,LT/L/26/3443/001,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342155,7129
LT,Lithuania,VVKT,Eltrombopag Krka,Eltrombopag,Eltrombopagas,75 mg,plėvele dengtos tabletės,B02BX05,LT/1/24/5500/004,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342156,108219
LT,Lithuania,VVKT,Pomalidomide Sandoz,Pomalidomide,Pomalidomidas,3 mg,kietosios kapsulės,L04AX06,LT/1/24/5534/002,Sandoz d.d.,shortage,2026-07-23T11:41:58.342158,107530
LT,Lithuania,VVKT,Amoxicilina Aurobindo,Amoxicillin,Amoksicilinas,1000 mg,disperguojamosios tabletės,J01CA04,LT/L/24/2075/003,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342159,
LT,Lithuania,VVKT,Axigalu,sitagliptin and dapagliflozin,Sitagliptinas/Dapagliflozinas,100 mg/10 mg,plėvele dengtos tabletės,A10BD29,LT/1/25/5781/029,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342160,
LT,Lithuania,VVKT,Bulgaplin,Pregabalin,Pregabalinas,25 mg,kietosios kapsulės,N02BF02,LT/1/24/5373/007,Orion Corporation,shortage,2026-07-23T11:41:58.342161,75698
LT,Lithuania,VVKT,Rivaroxaban Auxilia,Rivaroxaban,Rivaroksabanas,20 mg,plėvele dengtos tabletės,B01AF01,LT/1/21/4671/001,Auxilia Pharma OÜ,shortage,2026-07-23T11:41:58.342163,100153
LT,Lithuania,VVKT,Metronidazole Basi,Metronidazole,Metronidazolas,5 mg/ml,infuzinis tirpalas,J01XD01,LT/1/24/5509/004,"Laboratórios Basi-Indústria Farmacêutica, S.A.",shortage,2026-07-23T11:41:58.342164,18910
LT,Lithuania,VVKT,Trandolapril Generis,Trandolapril,Trandolaprilis,2 mg,kietosios kapsulės,C09AA10,LT/L/25/2564/001,UAB Niromed,shortage,2026-07-23T11:41:58.342166,
LT,Lithuania,VVKT,Lacipil,Lacidipine,Lacidipinas,4 mg,plėvele dengtos tabletės,C08CA09,LT/L/26/3304/002,UAB Niromed,shortage,2026-07-23T11:41:58.342168,37184
LT,Lithuania,VVKT,Diclac ID,Diclofenac,Diklofenako natrio druska,75 mg,modifikuoto atpalaidavimo tabletės,M01AB05,LT/L/26/3493/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342169,34142
LT,Lithuania,VVKT,KLACID,Clarithromycin,Klaritromicinas,500 mg,plėvele dengtos tabletės,J01FA09,LT/L/26/3297/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342171,49425
LT,Lithuania,VVKT,Ibuprofen Viatris,Ibuprofen,Ibuprofenas,200 mg,minkštosios kapsulės,M01AE01,LT/1/25/5871/002,Viatris Limited,shortage,2026-07-23T11:41:58.342175,59072
LT,Lithuania,VVKT,Bosentan Zentiva,Bosentan,Bozentanas,125 mg,plėvele dengtos tabletės,C02KX01,LT/1/24/5370/003,Zentiva k.s.,shortage,2026-07-23T11:41:58.342176,67377
LT,Lithuania,VVKT,Ruxolitinib Sandoz,ruxolitinib,Ruksolitinibas,10 mg,tabletės,L01EJ01,LT/1/26/6050/018,Sandoz d.d.,shortage,2026-07-23T11:41:58.342178,150843
LT,Lithuania,VVKT,Mitaclau,Desmopressin,Desmopresinas,240 µg,poliežuvinės tabletės,H01BA02,LT/1/23/5228/004,UAB Norameda,shortage,2026-07-23T11:41:58.342179,225428
LT,Lithuania,VVKT,Bisoprolol/Perindopril arginine Krka [Balutar],Perindopril and bisoprolol,Bizoprololio fumaratas/Perindoprilio argininas,10 mg/10 mg,plėvele dengtos tabletės,C09BX02,LT/1/25/5839/005,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342180,
LT,Lithuania,VVKT,Tolmiduo,Telmisartan and diuretics,Telmisartanas/Indapamidas,"40 mg/1,5 mg",modifikuoto atpalaidavimo tabletės,C09DA07,LT/1/24/5609/002,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342181,
