country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,distribution_method,marketing_auth_holder,shortage_start,estimated_end,status,reason,therapeutic_alternatives,scraped_at
GR,Greece,EOF,APREDONAV F.C.TAB 5MG/TAB BTx56 TABS (σε BLISTER PA/AL/PVC/Aluminium),"IVABRADINE, HYDROCHLORID, E",,,2803181201031,C01EB17,ΦΑΡΜΑΚΕΙΟΥ,MEDOCHEMIE HELLAS A.E.,2026-01-28,2026-04-10,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,"CATAPRESAN TABLET 0,150MG/TAB BTX30 (BLIST 3X10) ΣΕ BLISTERS WHITE OPAQUE PVC/PVDC- ALU","CLONIDINE, HYDROCHLORID, E",,,2800219102032,C02AC01,ΦΑΡΜΑΚΕΙΟΥ,"GLENWOOD GESELLSCHAFT MIT BESCHRANKTER HAFTUNG PHARMAZEUTISCHE ERZEUGNISSE, GERMANY",2026-04-27,2026-12-31,shortage,Καθυστέρηση παράδοσης,,2026-03-12T16:42:03.347998
GR,Greece,EOF,VOLIBRIS F.C.TAB 10MG/TAB BT X 30 ΣΕ BLIST (PVC/PVDC/ALU),AMBRISENTAN,,,2802836302024,C02KX02,ΦΑΡΜΑΚΕΙΟΥ,"GLAXOSMITHKLINE (IRELAND) LIMITED, IRELAND",2026-01-30,2026-04-24,shortage,Προβλήματα στην παραγωγική διαδικασία,,2026-03-12T16:42:03.347998
GR,Greece,EOF,LASIX INJ.SOL 20MG/2ML AMP BTx5 AMPx2 ML,FUROSEMIDE,,,2800362805019,C03CA01,ΦΑΡΜΑΚΕΙΟΥ,SANOFI-AVENTIS,2026-04-01,2026-04-30,shortage,Καθυστέρηση έγκρισης τροποποίησης Ε.Ο.Φ.,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,TOLVAPTAN/TEVA TABLET 15MG/TAB BT X 56: 4 BLISTERS PVC/ACLAR/PVC FORMING FOIL AND LIDDING ALU FOIL ΜΕ 7 Χ 15 MG ΚΑΙ 7 Χ 45 MG ΔΙΣΚΙΑ,TOLVAPTAN,,,2803311203119,C03XA01,ΦΑΡΜΑΚΕΙΟΥ,"TEVA B.V., THE NETHERLANDS",2025-12-22,2026-03-16,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,TOLVAPTAN/TEVA TABLET 60MG/TAB BT X 56: 4 BLISTERS PVC/ACLAR/PVC FORMING FOIL AND LIDDING ALU FOIL ΜΕ 7 Χ 30 MG ΚΑΙ 7 Χ 60 MG ΔΙΣΚΙΑ,TOLVAPTAN,,,2803311204116,C03XA01,ΦΑΡΜΑΚΕΙΟΥ,"TEVA B.V., THE NETHERLANDS",2026-02-18,2026-04-15,shortage,Καθυστέρηση παράδοσης,,2026-03-12T16:42:03.347998
GR,Greece,EOF,TOLVAPTAN/TEVA TABLET 30MG/TAB BT X 56: 4 BLISTERS PVC/ACLAR/PVC FORMING FOIL AND LIDDING ALU FOIL ΜΕ 7 Χ 30 MG ΚΑΙ 7 Χ 90 MG ΔΙΣΚΙΑ,TOLVAPTAN,,,2803311205113,C03XA01,ΦΑΡΜΑΚΕΙΟΥ,"TEVA B.V., THE NETHERLANDS",2025-10-30,2026-05-12,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,LOPRESOR F.C.TAB 100MG/TAB ΒΤΧ40(ΣΕBLISTERS),"METOPROLOL, TARTRATE",,,2801288702017,C07AB02,ΦΑΡΜΑΚΕΙΟΥ,RECORDATI HELLAS PHARMACEUTICALS A.E.,2026-02-17,2026-03-16,shortage,Καθυστέρηση παράδοσης,,2026-03-12T16:42:03.347998
GR,Greece,EOF,"METAZERO® XR PR.TAB 23,75MG/TAB BT X 30 TAB PVC/PE/PVDC-ΦΥΛΛΟ ΑΛΟΥΜΙΝΙΟΥ",METOPROLOL,,,2803268101049,C07AB02,ΦΑΡΜΑΚΕΙΟΥ,"KRKA D.D. NOVO MESTO, SLOVENIA",2025-12-05,2026-03-15,shortage,Αυξημένη ζήτηση,Εναλλακτικά το ίδιο φάρμακο σε διαφορετική περιεκτικότητα. Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής και μορφής,2026-03-12T16:42:03.347998
GR,Greece,EOF,PLENDIL PR.TAB 10MG/TAB ΒΤ X 28 (ΣΕ CALENDAR BLISTER),FELODIPINE,,,2801978901027,C08CA02,ΦΑΡΜΑΚΕΙΟΥ,"GLENWOOD GESELLSCHAFT MIT BESCHRANKTER HAFTUNG PHARMAZEUTISCHE ERZEUGNISSE, GERMANY",2026-05-12,2026-12-31,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά άλλα σκευάσματα της ίδιας κατηγορίας C08CA - Παράγωγα διυδροπυριδίνης με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
