country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Salbutamol 100micrograms/dose breath actuated inhalers CFC free,,,inhaler,,MSN/2025/041,,,2025-07-04,,December 2025,,shortage,Tier 2 - medium impact,,2025-07-04,https://cpe.org.uk/our-news/medicine-supply-notification-salbutamol-100micrograms-dose-breath-actuated-inhalers-cfc-free/,2026-09-22T14:33:41.817940
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Betamethasone 500microgram soluble tablets sugar free,,,soluble tablets,,MSN/2025/040,,,2025-06-30,,late July 2025,,shortage,Tier 2 - medium impact,,2025-06-30,https://cpe.org.uk/our-news/medicine-supply-notification-betamethasone-500microgram-soluble-tablets-sugar-free/,2026-09-22T14:33:41.818672
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Buprenorphine (Relevtec®) 35micrograms/hour, 52.5micrograms/hour, 70micrograms/hour transdermal patches Buprenorphine (Bupeaze®) 52.5micrograms/hour transdermal patches",,,transdermal patches,,MSN/2025/038,,,2025-06-19,,early August 2025,,shortage,Tier 2 - medium impact,,2025-06-19,https://cpe.org.uk/our-news/medicine-supply-notification-buprenorphine-relevtec-35micrograms-hour-52-5micrograms-hour-70micrograms-hour-transdermal-patches-buprenorphine-bupeaze-52-5micrograms-hour-transdermal/,2026-09-22T14:33:41.819484
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Venlafaxine 37.5mg modified-release tablets,,,modified-release tablets,,MSN/2025/035,,,2025-06-13,,,,shortage,Tier 2 - medium impact,,2025-06-13,https://cpe.org.uk/our-news/medicine-supply-notification-venlafaxine-37-5mg-modified-release-tablets/,2026-09-22T14:33:41.820266
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),NovoRapid® PumpCart® (insulin aspart) 100units/ml solution for injection 1.6ml cartridges,,,solution for injection,,MSN/2025/034,,,2025-06-04,,,,shortage,Tier 2 - medium impact,,2025-06-04,https://cpe.org.uk/our-news/medicine-supply-notification-novorapid-pumpcart-insulin-aspart-100units-ml-solution-for-injection-1-6ml-cartridges/,2026-09-22T14:33:41.820927
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Phenobarbital 15mg/5ml elixir,,,,,MSN/2025/032,,,2025-05-20,,late June 2025,,shortage,Tier 2 - medium impact,,2025-05-21,https://cpe.org.uk/our-news/medicine-supply-notification-phenobarbital-15mg-5ml-elixir/,2026-09-22T14:33:41.823266
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Tolterodine 2mg and 4mg modified-release capsules,,,capsules,,MSN/2025/031,,,2025-05-20,,,,shortage,Tier 2 - medium impact,,2025-05-20,https://cpe.org.uk/our-news/medicine-supply-notification-tolterodine-2mg-and-4mg-modified-release-capsules/,2026-09-22T14:33:41.824157
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Lidocaine (Xylocaine® ) 10mg/dose spray sugar free,,,,,MSN/2025/028,,,2025-05-07,,late June 2025,,shortage,Tier 2 - medium impact,,2025-05-07,https://cpe.org.uk/our-news/medicine-supply-notification-lidocaine-xylocaine-10mg-dose-spray-sugar-free/,2026-09-22T14:33:41.825207
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Buprenorphine (Reletrans® ) 5micrograms/hour and 15micrograms/hour transdermal patches,,,transdermal patches,,MSN/2025/030,,,2025-05-07,,early July 2025,,shortage,Tier 2 - medium impact,,2025-05-07,https://cpe.org.uk/our-news/medicine-supply-notification-buprenorphine-reletrans-5micrograms-hour-and-15micrograms-hour-transdermal-patches/,2026-09-22T14:33:41.825823
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Fentanyl (Effentora® ) 200microgram, 400microgram, 600microgram, 800microgram buccal tablets Fentanyl (Actiq® ) 800microgram lozenges",,,tablets,,MSN/2025/025,,,2025-04-30,,late May 2025,,shortage,Tier 2 - medium impact,,2025-04-30,https://cpe.org.uk/our-news/medicine-supply-notification-fentanyl-effentora-200microgram-400microgram-600microgram-800microgram-buccal-tablets-fentanyl-actiq-800microgram-lozenges/,2026-09-22T14:33:41.980170
