country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
ES,Spain,AEMPS,"ZANOSAR 1 G POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION, 1 vial",ESTREPTOZOCINA,,,722014,2026-04-01,2026-10-02,shortage,10,"La AEMPS ha autorizado unidades por comercialización excepcional. Se ha autorizado la puesta en el mercado de unidades en otro idioma, Francés.",2026-09-23T20:59:43.032038,L01XX01,
ES,Spain,AEMPS,ATAMAX 10 MG CAPSULAS DURAS EFG 28 cápsulas,ATOMOXETINA HIDROCLORURO,,,718812,2026-03-31,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración. Está disponible Atomoxetina Tarbis 10 mg 28 capsulas,2026-09-23T20:59:43.032047,N06BA09,76708
ES,Spain,AEMPS,"CLOFARABINA ACCORD 1 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG, 1 vial de 20 ml",CLOFARABINA,,,727244,2026-03-31,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032052,L01BB06,
ES,Spain,AEMPS,"FLAGYL 500 mg COMPRIMIDOS VAGINALES , 10 comprimidos",METRONIDAZOL,,,758177,2026-03-30,2026-09-30,shortage,Otros problemas de suministro,El médico prescriptor deberá determinar la posibilidad de utilizar otros tratamientos comercializados.,2026-09-23T20:59:43.032061,G01AF01,
ES,Spain,AEMPS,"TADALAFILO MYLAN 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 8 comprimidos",TADALAFILO,,,715597,2026-03-30,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032065,G04BE08,68241
ES,Spain,AEMPS,"GENTA GOBENS 80 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION, 1 vial de 3 ml",GENTAMICINA SULFATO,,,763011,2026-03-26,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032071,J01GB03,
ES,Spain,AEMPS,QUDIX PROLONG 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG 60 comprimidos,QUETIAPINA FUMARATO,,,726914,2026-03-26,2026-11-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032080,N05AH04,84182
ES,Spain,AEMPS,LANSOPRAZOL FLAS STADA 15MG COMPRIMIDOS BUCODISPERSABLES EFG 56 comprimidos,LANSOPRAZOL,,,722448,2026-03-25,2026-10-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032089,A02BC03,
ES,Spain,AEMPS,"EZETIMIBA VIATRIS 10 MG COMPRIMIDOS EFG, 28 comprimidos (Blister PVC/PVDC-ALUMINIO)",EZETIMIBA,,,703873,2026-03-24,2026-11-13,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032098,C10AX09,
ES,Spain,AEMPS,FUROSEMIDA ALTAN 250mg/ 25ml SOLUCION PARA PERFUSION EFG 10 ampollas de 25 ml,FUROSEMIDA,,,726619,2026-03-24,2026-11-17,shortage,"Problemas de suministro (sin alternativa, medicamento extranjero)",Se puede solicitar como medicamento extranjero.,2026-09-23T20:59:43.032108,C03CA01,5959
ES,Spain,AEMPS,"MIRTAZAPINA  FLAS STADA 15 mg COMPRIMIDOS BUCODISPERSABLES EFG, 60 comprimidos (Al/Al unidosis con pestaña)",MIRTAZAPINA,,,730616,2026-03-24,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032114,N06AX11,67784
ES,Spain,AEMPS,"OLANZAPINA FLAS VIATRIS 10 MG COMPRIMIDOS BUCODISPERSABLES EFG, 56 comprimidos",OLANZAPINA,,,693437,2026-03-24,2027-04-07,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032131,N05AH03,60968
ES,Spain,AEMPS,"ORALSONE  ADULTOS 2,5 mg COMPRIMIDOS PARA CHUPAR, 12 comprimidos",HIDROCORTISONA HEMISUCCINATO,,,699983,2026-03-24,2027-04-30,shortage,11,Existen tratamientos alternativos no sujetos a prescripción.,2026-09-23T20:59:43.032141,H02AB09,
ES,Spain,AEMPS,STRANTAS 250 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG 2 jeringas precargadas de 5 ml + 2 agujas,FULVESTRANT,,,725018,2026-03-24,2026-10-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032150,L02BA03,74934
ES,Spain,AEMPS,"CELLCEPT 1 g/5 ml POLVO PARA SUSPENSION ORAL, 1 frasco de 175 ml",MICOFENOLATO DE MOFETILO,,,771022,2026-03-23,2026-11-30,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-23T20:59:43.032159,L04AA06,
ES,Spain,AEMPS,"QUETIAPINA PENSA 150 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 60 comprimidos",QUETIAPINA FUMARATO,,,730364,2026-03-23,2026-10-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032170,N05AH04,94757
ES,Spain,AEMPS,"RISPERIDONA SANDOZ 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 60 comprimidos",RISPERIDONA,,,652314,2026-03-23,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.032179,N05AX08,37710
