country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at
IT,Italy,AIFA,GALNORA,GALANTAMINA BROMIDRATO,"""8 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 28 CAPSULE IN BLISTER PVC-PE-PVDC/AL",,,39889136,2026-05-30,,shortage - end date unknown,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GALNORA,GALANTAMINA BROMIDRATO,"""16 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 28 CAPSULE IN BLISTER PVC-PE-PVDC/AL",,,39889314,2026-04-13,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GALVUS,VILDAGLIPTIN,"""50 MG COMPRESSA - USO ORALE"" BLISTER (PA/AL/PVC/AL) - 56 COMPRESSE",,A10BH02,38144059,2025-09-26,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GAMMAGARD,IMMUNOGLOBULINA UMANA NORMALE,"""50 MG/ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 1 FLACONE POLVERE + 1 FLACONE DI SOLVENTE DA 192 ML + SET INFUSIONALE",,,33240045,2022-07-01,,shortage - end date unknown,Elevata richiesta: forniture discontinue,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.223281
IT,Italy,AIFA,GAMMAGARD,IMMUNOGLOBULINA UMANA NORMALE,"""50 MG/ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 1 FLACONE POLVERE + 1 FLACONE DI SOLVENTE DA 96 ML + SET INFUSIONALE",,,33240033,2022-10-31,,shortage - end date unknown,Elevata richiesta: forniture discontinue,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.223281
IT,Italy,AIFA,GAMUNEX,IMMUNOGLOBULINA UMANA NORMALE,"""100 MG/ML SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 50 ML",,,45410026,2025-11-14,2026-03-31,shortage,Problemi produttivi: forniture discontinue,Rilasciata determinazione per limportazione al titolare A.I.C.,2026-03-12T15:53:52.223281
IT,Italy,AIFA,GAMUNEX,IMMUNOGLOBULINA UMANA NORMALE,"""100 MG/ML SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 100 ML",,,45410040,2025-11-14,2026-03-31,shortage,Problemi produttivi: forniture discontinue,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.225874
IT,Italy,AIFA,GANAZOLO,ECONAZOLO NITRATO,"""1 MG/ML SOLUZIONE VAGINALE"" 5 FLACONI DA 150 ML + 5 CANNULE",,,33340050,2020-06-30,,shortage - end date unknown,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.225874
IT,Italy,AIFA,GANAZOLO,ECONAZOLO NITRATO,10 mg/g crema vaginale,,,33340035,2024-09-01,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.225874
IT,Italy,AIFA,GANAZOLO,ECONAZOLO NITRATO,10 mg/g emulsione cutanea,,,33340023,2024-12-23,,shortage - end date unknown,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.225874
