country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at,prk
EE,Estonia,RAVIMIAMET,KANILAD,N03AX18,lakosamiid,õhukese polümeerikattega tablett,50mg,Ideal Trade Links UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=3088ab9b-39a2-4c18-b3c7-e465761263fe,2026-09-21T16:19:40.863353,
EE,Estonia,RAVIMIAMET,KIGABEQ,N03AG04,vigabatriin,lahustuv tablett,100mg,Orphelia Pharma,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=cf3b2b51-b4f1-453c-b8a0-aad716aeb520,2026-09-21T16:19:40.863370,
EE,Estonia,RAVIMIAMET,KLOTRIMASOOL GSK,D01AC01,klotrimasool,kreem,10mg 1g,First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ac80d6db-f780-47fc-bf0c-9a24155694e1,2026-09-21T16:19:40.863386,
EE,Estonia,RAVIMIAMET,KREON 25 000 U,A09AA02,lipaas +amülaas +proteaas,gastroresistentne kõvakapsel,25000ühik +18000ühik +1000ühik,VIATRIS HEALTHCARE Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=15869d05-c793-467a-b604-abf020f4a807,2026-09-21T16:19:40.863403,
EE,Estonia,RAVIMIAMET,KVENTIAX,N05AH04,kvetiapiin,õhukese polümeerikattega tablett,25mg,KRKA tovarna zdravil d.d. Novo mesto,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=384c5061-0a38-40a8-aabf-b9852972ff48,2026-09-21T16:19:40.863419,50741
EE,Estonia,RAVIMIAMET,LACOSAMIDE ACCORD,N03AX18,lakosamiid,infusioonilahus,10mg 1ml,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=b35cb038-8fb4-4e29-9edc-00b9b3b77a71,2026-09-21T16:19:40.863435,89060
EE,Estonia,RAVIMIAMET,LACOSAMIDE ACCORD,N03AX18,lakosamiid,õhukese polümeerikattega tablett,150mg,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e1a376cd-5d81-4899-99ed-facd22ff78cd,2026-09-21T16:19:40.863451,89044
EE,Estonia,RAVIMIAMET,LAMISIL,D01AE15,terbinafiin,kreem,10mg 1g,Karo Healthcare AB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=a6847484-3a31-40af-8223-725d655baed5,2026-09-21T16:19:40.863468,35157
EE,Estonia,RAVIMIAMET,LEBSANAN,D11AH01,takroliimus,salv,1mg 1g,Norameda UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=7a6c6d00-a7ff-47f3-97c1-ff683d653bc3,2026-09-21T16:19:40.863484,
EE,Estonia,RAVIMIAMET,LETROZOLE TEVA,L02BG04,letrosool,õhukese polümeerikattega tablett,"2,5mg",Teva Pharma B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=df5209be-9ddd-4b3b-9176-f8a14e276dc2,2026-09-21T16:19:40.863500,47724
