country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at,prk
SI,Slovenia,CBZ,Kreon,Kreon 5 000 Ph.Eur.e. gastrorezistentna zrnca,"praeparata multienzymica (lipazae, proteazae)",,škatla z vsebnikom z 20 g zrnc in odmerno žlièko,gastrorezistentna zrnca,A09AA02,Viatris Healthcare Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292306,
SI,Slovenia,CBZ,Mysimba,Mysimba 8 mg/90 mg tablete s podaljšanim sprošèanjem,-,,škatla s s 112 tabletami v pretisnih omotih,tableta s podaljšanim sprošèanjem,A08AA62,Orexigen Therapeutics Ireland Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292316,
SI,Slovenia,CBZ,Linezolid Accord,Linezolid Accord 600 mg filmsko obložene tablete,linezolidum,,škatla z 10 tabletami (1 x 10 tablet v pretisnem omotu),filmsko obložena tableta,J01XX08,Accord Healthcare Polska Sp. z.o.o.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292327,60186
SI,Slovenia,CBZ,Panzyga,Panzyga 100 mg/ml raztopina za infundiranje,immunoglobulina humana ad aplicationem intravascularem,,škatla z 1 vialo s 25 ml raztopine,raztopina za infundiranje,J06BA02,Octapharma (IP) SPRL,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292338,
SI,Slovenia,CBZ,Fulvestrant Lek,Fulvestrant Lek 250 mg raztopina za injiciranje v napolnjeni injekcijski brizgi,fulvestrantum,,"škatla z dvema napolnjenima injekcijsko brizgama z zapornim nastavkom, ki šèiti pred posegom s 5 ml raztopine in varnostno iglo BD SafetyGlide",raztopina za injiciranje v napolnjeni injekcijski brizgi,L02BA03,Lek d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292348,74934
SI,Slovenia,CBZ,Duloksetin Sandoz,Duloksetin Sandoz 30 mg trde gastrorezistentne kapsule,duloxetinum,,škatla z 28 kapsulami (2 x 14 kapsul v PVC/PE/PCTFE//Al pretisnem omotu),"gastrorezistentna kapsula, trda",N06AX21,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292359,
SI,Slovenia,CBZ,Duloksetin Sandoz,Duloksetin Sandoz 60 mg trde gastrorezistentne kapsule,duloxetinum,,škatla z 28 kapsulami (2 x 14 kapsul v PVC/PE/PCTFE//Al pretisnem omotu),"gastrorezistentna kapsula, trda",N06AX21,Sandoz d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292369,
SI,Slovenia,CBZ,Beriplex,Beriplex P/N 500 i.e. prašek in vehikel za raztopino za injiciranje,"coagulationis factores IX, II, VII et X in combinationibus",,"škatla z 1 vialo s praškom, 1 vialo z vehiklom (20 ml vode) in 1 priprava za prenos s filtrom 20/20",prašek in vehikel za raztopino za injiciranje,B02BD01,CSL Behring GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292379,71935
SI,Slovenia,CBZ,Fulvestrant Teva,Fulvestrant Teva 250 mg raztopina za injiciranje v napolnjeni injekcijski brizgi,fulvestrantum,,škatla z dvema napolnjenima injekcijskima brizgama z nastavkom Luer-Lock s 5 ml raztopine in dvema varnostnima iglama,raztopina za injiciranje v napolnjeni injekcijski brizgi,L02BA03,Teva B.V.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292389,74934
SI,Slovenia,CBZ,Razagilin Viatris,Razagilin Viatris 1 mg tablete,rasagilinum,,28 tablet v pretisnih omotih iz PVC/PVDC/alu,tableta,N04BD02,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292399,129852
