country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at,prk
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Nifedipine 10mg, 20mg, 30mg and 60mg modified-release tablets",Nifedipine,,modified-release tablets,,MSN/2026/033,C08CA05,,2026-07-23,,November 2026,,shortage,Tier 2 - medium impact,,2026-07-23,https://cpe.org.uk/our-news/medicine-supply-notification-nifedipine-10mg-20mg-30mg-and-60mg-modified-release-tablets/,2026-09-23T10:38:17.958448,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Nabilone 1mg capsules,Nabilone,,capsules,,MSN/2026/032,A04AD11,,2026-07-14,,,,shortage,Tier 2 - medium impact,,2026-07-14,https://cpe.org.uk/our-news/medicine-supply-notification-nabilone-1mg-capsules/,2026-09-23T10:38:17.959468,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Latanoprost 50micrograms/ml / Timolol 5mg/ml (Fixapost®) eye drops 0.2ml unit dose preservative free,Latanoprost / Timolol,,eye drops,,MSN/2026/031,,,2026-07-09,,January 2027,,shortage,Tier 2 - medium impact,,2026-07-09,https://cpe.org.uk/our-news/medicine-supply-notification-latanoprost-50micrograms-ml-timolol-5mg-ml-fixapost-eye-drops-0-2ml-unit-dose-preservative-free-2/,2026-09-23T10:38:17.960698,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),"Sodium valproate (Epilim Chronosphere® ) 50mg, 250mg, and 500mg modified-release granules sachets sugar free",,,sachets,,MSN/2026/030,,,2026-07-07,,late August 2026,,shortage,Tier 2 - medium impact,,2026-07-07,https://cpe.org.uk/our-news/medicine-supply-notification-sodium-valproate-epilim-chronosphere-50mg-250mg-and-500mg-modified-release-granules-sachets-sugar-free/,2026-09-23T10:38:17.961556,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Oxcarbazepine 150mg tablets (Viatris),Oxcarbazepine,,tablets,,MSN/2026/029,N03AF02,,2026-07-03,,,,shortage,Tier 2 - medium impact,,2026-07-03,https://cpe.org.uk/our-news/medicine-supply-notification-oxcarbazepine-150mg-tablets-viatris/,2026-09-23T10:38:17.962229,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Disopyramide (Rythmodan® ) 100mg capsules and disopyramide (Rythmodan Retard® ) 250mg modified-release tablets,Disopyramide,,modified-release tablets,,MSN/2026/028,C01BA03,,2026-06-22,,early April 2027,,shortage,Tier 2 - medium impact,,2026-06-22,https://cpe.org.uk/our-news/medicine-supply-notification-disopyramide-rythmodan-100mg-capsules-and-disopyramide-rythmodan-retard-250mg-modified-release-tablets/,2026-09-23T10:38:17.963432,15482
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Propafenone (Arythmol® ) 150mg tablets,Propafenone,,tablets,,MSN/2026/027,C01BC03,,2026-06-22,,late July 2026,,shortage,Tier 2 - medium impact,,2026-06-22,https://cpe.org.uk/our-news/medicine-supply-notification-propafenone-arythmol-150mg-tablets-2/,2026-09-23T10:38:17.963914,26026
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Aztreonam 1g and 2g powder for solution for injection vials,Aztreonam,,powder for solution for injection,,MSN/2025/025,J01DF01,,2026-06-11,,,,shortage,Tier 2 - medium impact,,2026-06-11,https://cpe.org.uk/our-news/medicine-supply-notification-aztreonam-1g-and-2g-powder-for-solution-for-injection-vials/,2026-09-23T10:38:17.991640,22969
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Rivastigmine 4.6mg/24hours and 9.5mg/24hours transdermal patches,Rivastigmine,,transdermal patches,,MSN/2025/062,N06DA03,,2025-12-03,,w/c late September 2026,,shortage,Tier 3 - high impact,,2026-06-04,https://cpe.org.uk/our-news/medicine-supply-notification-rivastigmine-4-6mg-24hours-and-9-5mg-24hours-transdermal-patches/,2026-09-23T10:38:17.993019,
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Trurapi® (insulin aspart) 100units/ml solution for injection 3ml pre-filled Solostar pens,insulin aspart,,solution for injection,,MSN/2026/024,A10AB05,,2026-05-18,,late May 2026,,shortage,Tier 2 - medium impact,differences in bioavailability,2026-05-18,https://cpe.org.uk/our-news/medicine-supply-notification-trurapi-insulin-aspart-100units-ml-solution-for-injection-3ml-pre-filled-solostar-pens/,2026-09-23T10:38:17.993882,121355
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Midazolam (Epistatus® ) 7.5mg/0.75ml oromucosal solution pre-filled oral syringes sugar free,Midazolam,,,,MSN/2026/023,N05CD08,,2026-05-05,,,,shortage,Tier 2 - medium impact,,2026-05-05,https://cpe.org.uk/our-news/medicine-supply-notification-midazolam-epistatus-7-5mg-0-75ml-oromucosal-solution-pre-filled-oral-syringes-sugar-free/,2026-09-23T10:38:17.994445,
