country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at,prk
BE,Belgium,FAMHP,Pomalidomide Viatris 1 mg harde caps. 14,Pomalidomide ,,,4789368,L04AX06,EU/1/23/1785/001,Viatris Ltd.,2024-12-13,2026-10-07,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440275,107514
BE,Belgium,FAMHP,Pomalidomide Viatris 1 mg harde caps. 21 (21 x 1) UD,Pomalidomide ,,,4789384,L04AX06,EU/1/23/1785/004,Viatris Ltd.,2024-12-13,2026-10-07,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440282,107514
BE,Belgium,FAMHP,Pomalidomide Viatris 2 mg harde caps. 14,Pomalidomide ,,,4789392,L04AX06,EU/1/23/1785/005,Viatris Ltd.,2024-12-13,2026-10-07,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440288,107522
BE,Belgium,FAMHP,Pomalidomide Viatris 2 mg harde caps. 21 (21 x 1) UD,Pomalidomide ,,,4789400,L04AX06,EU/1/23/1785/008,Viatris Ltd.,2024-12-13,2026-10-07,,unavailable,"Overmacht (staking, ramp, …)",Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440295,107522
BE,Belgium,FAMHP,Pomalidomide Viatris 3 mg harde caps. 21 (21 x 1) UD,Pomalidomide ,,,4789426,L04AX06,EU/1/23/1785/012,Viatris Ltd.,2024-12-13,2026-10-07,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440301,107530
BE,Belgium,FAMHP,Pomalidomide Viatris 4 mg harde caps. 21 (21 x 1) UD,Pomalidomide ,,,4789442,L04AX06,EU/1/23/1785/016,Viatris Ltd.,2024-12-13,2026-10-07,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440307,107549
BE,Belgium,FAMHP,Tricho Plus 200 mg pdr. voor drinkwater sachet 8 x 4 g,Ronidazol,,,0458273,QP51CA02,BE-V149974,Oropharma SA-NV,2024-12-12,2026-12-31,,unavailable,Werkzaam bestanddeel niet beschikbaar,-,2026-09-23T11:15:11.440312,
BE,Belgium,FAMHP,Ornicure 150 mg/g pdr. voor drinkwater sachet 8 x 4 g,Doxycycline,,,3458544,QJ01AA02,BE-V500782,Oropharma SA-NV,2024-12-12,2026-09-30,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.440317,
BE,Belgium,FAMHP,Cimzia 200 mg (Orifarm) inj. opl. s.c. voorgev. spuit 2 x 1 ml,Certolizumab Pegol,,,4201802,L04AB05,EU/1/09/544/001,Orifarm a.s.,2024-12-03,2026-10-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440323,92584
BE,Belgium,FAMHP,Pethisom 50 mg/1 ml inj. opl. i.m./i.v./s.c. amp. 100 x 1 ml,Pethidine Hydrochloride,,,3464245,N02AB02,BE489644,Laboratoires Sterop SA-NV,2024-11-28,2026-12-31,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440329,21679
