country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,scraped_at
LV,Latvia,ZVA,Atsimutin 50 mg film-coated tablets,Azathioprinum,50 mg,100 pcs,,15-0273-06,2022-01-31,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Aubagio,Teriflunomidum,7 mg,28 pcs,,EU/1/13/838/006,2024-09-01,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Augmentin 500 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",500 mg/125 mg,14 pcs,J01CA04,99-0034-14,2023-02-01,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Augmentin 875 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",875 mg/125 mg,14 pcs,J01CA04,I001510-01,2022-12-14,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Augmentin Fruit 400 mg/57 mg/5 ml powder for oral suspension,"Amoxicillinum, Acidum clavulanicum",70 ml,1 pc,J01CA04,17-0184-02,2023-02-01,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Augmentin MF 400 mg/57 mg/5 ml powder for oral suspension,"Amoxicillinum, Acidum clavulanicum",70 ml,1 pc,J01CA04,I001525-01,2024-01-01,,shortage - end date unknown,2026-03-12T15:53:44.756843
LV,Latvia,ZVA,Avastin,Bevacizumabum,400 mg/16 ml,1 pc,L01FG01,EU/1/04/300/002,2025-09-05,2026-09-04,shortage,2026-03-12T15:53:44.757827
LV,Latvia,ZVA,Avastin,Bevacizumabum,100 mg/4 ml,1 pc,L01FG01,EU/1/04/300/001,2026-01-20,2027-01-20,shortage,2026-03-12T15:53:44.757827
LV,Latvia,ZVA,Avelox 400 mg/250 ml solution for infusion,Moxifloxacinum,400 mg/250 ml,5 pcs,J01MA14,04-0395-01,2018-12-18,,shortage - end date unknown,2026-03-12T15:53:44.757827
LV,Latvia,ZVA,Axetine 750 mg powder for solution for injection/infusion,Cefuroximum,750 mg/10 ml,10 pcs,J01DC02,02-0291-02,2022-12-29,,shortage - end date unknown,2026-03-12T15:53:44.757827
LV,Latvia,ZVA,Azacitidine Mylan,Azacitidinum,100 mg,1 pc,,EU/1/20/1426/001,2024-09-30,,shortage - end date unknown,2026-03-12T15:53:44.757827
LV,Latvia,ZVA,Azalia 75 microgram film-coated tablets,Desogestrelum,75 µg,84 pcs,G03AC09,07-0378-02,2018-12-11,,shortage - end date unknown,2026-03-12T15:53:44.757827
LV,Latvia,ZVA,"Beconase 50 micrograms nasal spray, suspension",Beclometasoni dipropionas,50 µg/dose,200 pcs,R03AK08,99-0392-01,2021-11-15,,shortage - end date unknown,2026-03-12T15:53:45.035504
LV,Latvia,ZVA,"Bedufora 100 micrograms/6 micrograms per actuation pressurised inhalation, solution","Beclometasoni dipropionas, Formoteroli fumaras dihydricus",100 µg/6 µg,1 pc,R03AK08,24-0293-01,2025-12-20,2035-12-31,shortage,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,"Bedufora 200 micrograms/6 micrograms per actuation pressurised inhalation, solution","Beclometasoni dipropionas, Formoteroli fumaras dihydricus",200 µg/6 µg,1 pc,R03AK08,24-0294-01,2025-12-20,2035-12-31,shortage,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,Bemfola,Follitropinum alfa,"450 IU/0,75 ml",1 pc,,EU/1/13/909/005,2025-09-01,,shortage - end date unknown,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,Benfogamma 50 mg coated tablets,Benfotiaminum,50 mg,50 pcs,,00-0796-01,2025-09-11,,shortage - end date unknown,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,Benlysta,Belimumabum,120 mg,1 pc,L04AG04,EU/1/11/700/001,2023-12-05,,shortage - end date unknown,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,Berlipril 10 mg tablets,Enalaprili maleas,10 mg,30 pcs,C09AA02,01-0461-01,2025-01-23,,shortage - end date unknown,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,Berlipril 20 mg tablets,Enalaprili maleas,20 mg,30 pcs,C09AA02,01-0462-01,2025-01-23,,shortage - end date unknown,2026-03-12T15:53:45.036514
LV,Latvia,ZVA,"Berodual N 20/50 micrograms/dose pressurised inhalation, solution","Ipratropii bromidum, Fenoteroli hydrobromidum",20 µg/50 µg/dose,200 pcs,G02CA03,01-0176-01,2026-02-03,,shortage - end date unknown,2026-03-12T15:53:45.036514
